WKT,id,name,category
"POINT (107.628469754521 -6.97096826521971)",asrama_putra_1,Asrama Putra Gedung 1,dormitory
"POINT (107.62847531254 -6.97081538865682)",asrama_putra_2,Asrama Putra Gedung 2,dormitory
"POINT (107.628513372848 -6.97034958919291)",asrama_putra_3,Asrama Putra Gedung 3,dormitory
"POINT (107.627869604422 -6.97093588334027)",asrama_putra_4,Asrama Putra Gedung 4,dormitory
"POINT (107.627874165021 -6.97078326256269)",asrama_putra_5,Asrama Putra Gedung 5,dormitory
"POINT (107.627266772987 -6.97091106793491)",asrama_putra_6,Asrama Putra Gedung 6,dormitory
"POINT (107.627268452874 -6.97076599806195)",asrama_putra_7,Asrama Putra Gedung 7,dormitory
"POINT (107.627284970815 -6.97029609452331)",asrama_putra_8,Asrama Putra Gedung 8,dormitory
"POINT (107.627890318948 -6.97001621462821)",asrama_putra_9,Asrama Putra Gedung 9,dormitory
"POINT (107.627893979308 -6.96984908235412)",asrama_putra_10,Asrama Putra Gedung 10,dormitory
"POINT (107.628517460711 -6.97003438117615)",asrama_putra_11,Asrama Putra Gedung 11,dormitory
"POINT (107.628517460711 -6.96988420435869)",asrama_putra_12,Asrama Putra Gedung 12,dormitory
"POINT (107.628732140541 -6.97163201035076)",sport_centre,Telkom University Sport Centre,sport
"POINT (107.628886600836 -6.97149108145988)",street_food,Street Food,food_and_beverage
"POINT (107.6285828 -6.9712857)",tj_mart,TJ Mart,mart
"POINT (107.627347494346 -6.96992948440343)",kantin_asrama_putra,Kantin Asrama Putra,food_and_beverage
"POINT (107.627168 -6.9699928)",mushola_kantin_asrama_putra,Mushola Kantin Asrama Putra,place_of_worship
"POINT (107.6270604 -6.9700773)",tel-u_mart,Tel-U Mart,Mart
"POINT (107.627857346952 -6.97038471196909)",asrama_park,Asrama Park,dormitory
"POINT (107.62686432453 -6.97112182114736)",pengelolaan_kompos_asrama,Pengelolaan Kompos Asrama,dormitory
"POINT (107.6283143 -6.9712806)",dormitory_hall,Dormitory Hall,dormitory
"POINT (107.628471703568 -6.97124469106836)",barbershop_asrama_putra,Barbershop Asrama Putra,barbershop
"POINT (107.629164196432 -6.97029483458919)",lapangan_bola_asrama,Lapangan Bola Asrama,sport
"POINT (107.628737960597 -6.9715320678219)",focus_fitness,Gym Focus Fitness,fitness
"POINT (107.628951095518 -6.96970170598124)",mushola_depan_tult,Mushola Depan TULT,place_of_worship
"POINT (107.628124299018 -6.96915935899224)",tult,Telkom University Landmark Tower (TULT),building
"POINT (107.627459 -6.9700676)",parkiran_motor_kantin_asrama_putra,Parkiran Motor Kantin Asrama Putra,parking
"POINT (107.633468675858 -6.97209313800926)",gate_1,Gate 1,gate
"POINT (107.633380753838 -6.97319824763419)",gate_2,Gate 2,gate
"POINT (107.628718664973 -6.97118197590082)",parkiran_motor_asrama_putra_sementara,Parkiran Motor Arama Putra Sementara,parking
"POINT (107.628714031904 -6.97112862961057)",pos_satpam_asrama_putra,Pos Satpam Asrama Putra,security
"POINT (107.628455516444 -6.96941518515655)",parkiran_mobil_mahasiswa_tult,Parkiran Mobil Mahasiswa TULT,parking
"POINT (107.629217632143 -6.96957066395356)",parkiran_motor_tult,Parkir Motor TULT,parking
"POINT (107.6289311867 -6.96945457120216)",pos_satpam_depan_tult,Post Satpam Depan TULT,security
"POINT (107.629075896163 -6.96973398082635)",cuci_motor_depan_tult,Cuci Motor Depan TULT,service
"POINT (107.629623351307 -6.97051423236157)",kandang_rusa,Kandang Rusa,animal
"POINT (107.630319770462 -6.97045558668838)",bandung_techno_park,Bandung Techno Park (BTP),building
"POINT (107.629717334286 -6.97002992391454)",marker_space,Marker Space Telkom University,building
"POINT (107.631070994163 -6.97143133822978)",tuch,Telkom University Convension Hall (TUCH),building
